Regiao,VendasOnline,VendasOffline,Lucro,Clientes,Data
Oeste,377,429,233.69,75,2025-01-16
Norte,393,588,291.41,103,2025-01-17
Sul,375,406,227.85,69,2025-01-17
Leste,407,194,167.36,54,2025-01-17
Oeste,211,430,160.16,57,2025-01-17
Norte,495,385,232.48,81,2025-01-18
Sul,207,389,165.91,59,2025-01-18
Leste,352,381,224.03,80,2025-01-18
Oeste,236,365,177.61,52,2025-01-18
Norte,228,489,165.63,68,2025-01-19
Sul,168,404,126.88,64,2025-01-19
Leste,474,293,227.89,70,2025-01-19
Oeste,136,424,129.04,64,2025-01-19
Norte,199,229,144.96,50,2025-01-20
Sul,422,159,159.57,67,2025-01-20
Leste,159,182,109.96,42,2025-01-20
Oeste,405,410,233.77,84,2025-01-20
Norte,473,251,178.7,77,2025-01-21
Sul,198,162,127.83,29,2025-01-21
Leste,108,268,74.4,35,2025-01-21
Oeste,269,293,155.96,54,2025-01-21
Norte,260,485,172.07,77,2025-01-22
Sul,382,302,188.21,68,2025-01-22
Leste,102,272,108.49,45,2025-01-22
Oeste,131,317,128.11,37,2025-01-22
Norte,439,203,191.15,58,2025-01-23
Sul,413,177,122.24,65,2025-01-23
Leste,177,477,210.49,55,2025-01-23
Oeste,402,163,148.31,55,2025-01-23
Norte,175,232,94.24,44,2025-01-24
Sul,381,387,205.49,76,2025-01-24
Leste,412,178,162.05,49,2025-01-24
Oeste,388,424,213.98,86,2025-01-24
Norte,324,150,123.2,43,2025-01-25
Sul,339,571,255.25,90,2025-01-25
Leste,462,460,266.51,98,2025-01-25
Oeste,299,161,132.79,44,2025-01-25
Norte,335,508,216.78,87,2025-01-26
Sul,306,514,243.7,85,2025-01-26
Leste,389,398,211.85,83,2025-01-26
Oeste,133,204,110.13,29,2025-01-26
Norte,114,495,135.74,65,2025-01-27
Sul,175,573,204.62,81,2025-01-27
Leste,163,260,100.83,37,2025-01-27
Oeste,324,228,180.42,57,2025-01-27
Norte,364,346,199.04,64,2025-01-28
Sul,141,326,114.86,53,2025-01-28
Leste,413,349,246.93,69,2025-01-28
Oeste,444,216,188.78,59,2025-01-28
Norte,121,485,176.54,63,2025-01-29
Sul,463,176,152.05,55,2025-01-29
Leste,130,501,191.54,64,2025-01-29
Oeste,158,196,136.54,44,2025-01-29
Norte,316,298,157.55,64,2025-01-30
Sul,221,250,140.65,44,2025-01-30
Leste,451,414,266.6,90,2025-01-30
Oeste,369,491,280.65,79,2025-01-30
Norte,167,340,158.1,46,2025-01-31
Sul,118,245,68.8,29,2025-01-31
Leste,156,468,179.57,58,2025-01-31
Oeste,246,221,159.09,54,2025-01-31
Norte,304,244,154.33,50,2025-02-01
Sul,361,585,271.94,84,2025-02-01
Leste,353,475,224.93,90,2025-02-01
Oeste,416,512,228.3,99,2025-02-01
Norte,488,372,240.98,81,2025-02-02
Sul,281,548,188.32,89,2025-02-02
Leste,135,541,165.73,75,2025-02-02
Oeste,149,415,130.59,60,2025-02-02
Norte,484,474,258.49,96,2025-02-03
Sul,412,424,227.92,88,2025-02-03
Leste,487,571,255.21,108,2025-02-03
Oeste,180,195,135.03,30,2025-02-03
Norte,138,336,131.66,45,2025-02-04
Sul,434,304,240.71,65,2025-02-04
Leste,467,225,153.62,71,2025-02-04
Oeste,274,267,159.96,62,2025-02-04
Norte,351,500,192.88,79,2025-02-05
Sul,292,402,162.47,68,2025-02-05
Leste,288,440,202.76,63,2025-02-05
Oeste,432,499,239.66,93,2025-02-05
Norte,110,297,120.34,30,2025-02-06
Sul,373,384,232.75,71,2025-02-06
Leste,380,562,267.91,92,2025-02-06
Oeste,274,394,164.78,64,2025-02-06
Norte,408,581,268.86,89,2025-02-07
Sul,297,465,209.6,83,2025-02-07
Leste,476,210,186.87,64,2025-02-07
Oeste,104,598,188.85,68,2025-02-07
Norte,364,174,161.79,43,2025-02-08
Sul,108,164,69.67,27,2025-02-08
Leste,499,169,181.58,58,2025-02-08
Oeste,409,382,214.29,73,2025-02-08
Norte,240,567,230.15,71,2025-02-09
Sul,272,162,136.31,34,2025-02-09
Leste,158,357,164.29,45,2025-02-09
Oeste,295,484,205.69,67,2025-02-09
Norte,112,161,71.13,25,2025-02-10
Sul,236,280,126.83,48,2025-02-10
Leste,483,299,180.36,77,2025-02-10
Oeste,387,228,189.29,63,2025-02-10
Norte,196,260,112.1,46,2025-02-11
Sul,287,393,151.61,74,2025-02-11
Leste,251,250,113.42,53,2025-02-11
Oeste,327,599,237.5,99,2025-02-11
Norte,134,284,106.41,50,2025-02-12
Sul,268,419,158.8,76,2025-02-12
Leste,223,522,240.47,69,2025-02-12
Oeste,221,360,141.46,58,2025-02-12
Norte,137,309,126.01,40,2025-02-13
Sul,279,251,183.95,43,2025-02-13
Leste,425,499,229.4,84,2025-02-13
Oeste,170,236,110.35,41,2025-02-13
Norte,383,259,199.88,59,2025-02-14
Sul,286,566,200.78,87,2025-02-14
Leste,426,263,186.98,70,2025-02-14
Oeste,492,238,229.95,76,2025-02-14
Norte,225,454,198.13,69,2025-02-15
Sul,331,452,177.7,75,2025-02-15
Leste,268,482,179.33,68,2025-02-15
Oeste,333,177,104.86,52,2025-02-15
Norte,138,302,101.02,44,2025-02-16
Sul,496,206,186.02,72,2025-02-16
Leste,497,434,281.25,98,2025-02-16
Oeste,221,197,157.48,32,2025-02-16
Norte,257,561,248.82,72,2025-02-17
Sul,426,518,228.59,102,2025-02-17
Leste,292,589,181.87,90,2025-02-17
Oeste,265,206,123.83,44,2025-02-17
Norte,468,397,228.37,87,2025-02-18
Sul,225,184,106.91,48,2025-02-18
Leste,133,492,181.77,71,2025-02-18
Oeste,378,537,267.2,95,2025-02-18
Norte,394,258,189.84,65,2025-02-19
Sul,456,287,223.2,67,2025-02-19
Leste,289,503,204.34,81,2025-02-19
Oeste,472,166,177.83,62,2025-02-19
Norte,278,493,225.85,83,2025-02-20
Sul,422,408,220.05,76,2025-02-20
Leste,404,560,251.13,96,2025-02-20
Oeste,356,396,204.78,79,2025-02-20
Norte,212,336,139.91,55,2025-02-21
Sul,133,382,122.22,56,2025-02-21
Leste,190,327,140.59,56,2025-02-21
Oeste,320,182,134.64,51,2025-02-21
Norte,146,477,180.41,69,2025-02-22
Sul,401,354,191.21,82,2025-02-22
Leste,143,564,176.57,66,2025-02-22
Oeste,272,501,205.69,77,2025-02-22
Norte,106,468,155.08,56,2025-02-23
Sul,450,412,254.68,89,2025-02-23
Leste,163,548,188.59,70,2025-02-23
Oeste,408,221,174.74,60,2025-02-23
Norte,171,385,133.48,48,2025-02-24
Sul,313,210,137.67,53,2025-02-24
Leste,145,217,112.9,33,2025-02-24
Oeste,195,538,173.65,68,2025-02-24
Norte,207,537,215.7,82,2025-02-25
Sul,292,273,157.19,65,2025-02-25
Leste,338,340,224.38,61,2025-02-25
Oeste,266,469,193.64,81,2025-02-25
Norte,172,404,170.61,54,2025-02-26
Sul,337,259,177.52,53,2025-02-26
Leste,355,378,188.06,72,2025-02-26
Oeste,481,343,237.1,89,2025-02-26
Norte,133,516,158.81,60,2025-02-27
Sul,339,230,159.59,62,2025-02-27
Leste,375,382,200.63,69,2025-02-27
Oeste,320,508,220.72,77,2025-02-27
Norte,390,270,201.26,74,2025-02-28
Sul,422,400,202.83,88,2025-02-28
Leste,201,223,150.3,50,2025-02-28
Oeste,293,265,147.49,60,2025-02-28
